id,subject,hours,planId,type,parentId,stringNumber,blockId,departmentId,code,hoursSelfWork
2034728,Введение в специальность,144,5637,subject,,1,71018,31,Б1.В.01,74
2034757,Методы анализа веществ и материалов,144,5637,subject,,2,71018,31,Б1.В.02,72
2034752,"Материалы: прошлое, настоящее, будущее",72,5637,subject,,3,71018,31,Б1.В.03,37
2034758,Структурная химия и кристаллохимия,216,5637,subject,,4,71018,31,Б1.В.04,111
2034778,Химия высокомолекулярных соединений,180,5637,subject,,5,71018,31,Б1.В.05,110
2034777,Физикохимия и технология материалов,108,5637,subject,,6,71018,31,Б1.В.06,73
2034771,Уравнения математической физики,144,5637,subject,,7,71018,4,Б1.В.07,40
2073102,Термодинамика и фазовые равновесия,108,5637,subject,,8,71018,31,Б1.В.08,73
2034762,Физика твердого тела,180,5637,subject,,9,71018,11,Б1.В.09,59
2034773,Квантовая механика и статистическая физика,180,5637,subject,,10,71018,30,Б1.В.10,59
2034774,Численные методы и программы в механике,108,5637,subject,,11,71018,18,Б1.В.11,21
2034775,Возобновляемые источники энергии,108,5637,subject,,12,71018,11,Б1.В.12,73
2034776,Статистическая обработка эксперимента,72,5637,subject,,13,71018,31,Б1.В.13,37
2034786,"Системы сбора, обработки и отображения информации",144,5637,subject,,14,71018,36,Б1.В.14,109
2034787,"Механика твердого тела, гидро- и газодинамика",108,5637,subject,,15,71018,34,Б1.В.15,21
2034788,Ресурсосбережение и экологическая безопасность при производстве материалов,72,5637,subject,,16,71018,31,Б1.В.16,37
2034737,Элективные курсы по физической культуре и спорту,328,5637,subject,,17,71018,33,Б1.В.17,89
2034765,"Модуль ""Современные функциональные материалы""",792,5637,module,,18,71018,,Б1.В.18,513
2034861,Магнитные и полупроводниковые материалы,144,5637,subject,"2,034,765",19,71018,17,Б1.В.18.01,109
2034769,Физикохимия дисперсных систем. Наноматериалы и нанотехнологии,108,5637,subject,"2,034,765",20,71018,31,Б1.В.18.02,73
2034783,Диэлектрические материалы,180,5637,subject,"2,034,765",21,71018,17,Б1.В.18.03,111
2034768,Материалы для катализа и сорбции,72,5637,subject,"2,034,765",22,71018,31,Б1.В.18.04,37
2034766,Физико-химические процессы в электрохимических системах,72,5637,subject,"2,034,765",23,71018,31,Б1.В.18.05,37
2034770,Композиционные и гибридные материалы,108,5637,subject,"2,034,765",24,71018,31,Б1.В.18.06,73
2034784,Материалы солнечной энергетики,108,5637,subject,"2,034,765",25,71018,11,Б1.В.18.07,73
2034781,Дисциплины по выбору Б1. В.ДВ 1,72,5637,choice,,26,71018,,Б1.В.ДВ.01,38
2034782,Управление интеллектуальной собственностью,72,5637,subject,"2,034,781",27,71018,15,Б1.В.ДВ.01.01,38
2034785,Управление личными финансами,72,5637,subject,"2,034,781",28,71018,19,Б1.В.ДВ.01.02,38
2034738,Дисциплины по выбору Б2. В.ДВ.2,72,5637,choice,,29,71018,,Б1.В.ДВ.02,37
2034740,Русский язык и культура речи,72,5637,subject,"2,034,738",30,71018,41,Б1.В.ДВ.02.01,37
2034741,Теория и практика аргументации,72,5637,subject,"2,034,738",31,71018,43,Б1.В.ДВ.02.02,37
2034742,Психология делового общения,72,5637,subject,"2,034,738",32,71018,43,Б1.В.ДВ.02.03,37
2034739,Межличностные коммуникации в малых группах и организациях,72,5637,subject,"2,034,738",33,71018,42,Б1.В.ДВ.02.04,37
2034719,Философия,108,5637,subject,,34,71017,43,Б1.О.01,39
2034720,Алгебра и геометрия,216,5637,subject,,35,71017,4,Б1.О.02,77
2034721,Математический анализ,432,5637,subject,,36,71017,4,Б1.О.03,120
2034727,Информатика,144,5637,subject,,37,71017,36,Б1.О.04,58
2034722,Физика,540,5637,subject,,38,71017,30,Б1.О.05,126
2067609,История России,144,5637,subject,,39,71017,40,Б1.О.06,24
2067610,Инженерная графика,144,5637,subject,,40,71017,18,Б1.О.07,73
2034724,Правоведение,72,5637,subject,,41,71017,40,Б1.О.08,20
2034735,Теория вероятностей и математическая статистика,108,5637,subject,,42,71017,4,Б1.О.09,21
2034730,Компьютерная графика,108,5637,subject,,43,71017,18,Б1.О.10,56
2034734,Экономика,108,5637,subject,,44,71017,19,Б1.О.11,37
2034736,Метрология и измерительная техника,180,5637,subject,,45,71017,10,Б1.О.12,59
2067612,Методы синтеза и исследования материалов,180,5637,subject,,46,71017,31,Б1.О.13,91
2034725,Безопасность жизнедеятельности,108,5637,subject,,47,71017,39,Б1.О.14,39
2034726,Физическая культура и спорт,72,5637,subject,,48,71017,33,Б1.О.15,37
2034753,"Модуль ""Химия""","1,044",5637,module,,49,71017,,Б1.О.16,553
2034754,Общая химия и химия элементов (с основами качественного анализа),180,5637,subject,"2,034,753",50,71017,31,Б1.О.16.01,75
2067611,Практикум по общей химии и химия элементов (с основами качественного анализа),180,5637,subject,"2,034,753",51,71017,31,Б1.О.16.02,108
2073100,Аналитическая химия,144,5637,subject,"2,034,753",52,71017,31,Б1.О.16.03,74
2034779,Физическая химия,144,5637,subject,"2,034,753",53,71017,31,Б1.О.16.04,57
2034759,Химия твердого тела,144,5637,subject,"2,034,753",54,71017,31,Б1.О.16.05,57
2034756,Органическая химия,144,5637,subject,"2,034,753",55,71017,31,Б1.О.16.06,109
2073101,Химическая кинетика твердофазных реакций,108,5637,subject,"2,034,753",56,71017,31,Б1.О.16.07,73
2034731,"Модуль ""Механика""",360,5637,module,,57,71017,,Б1.О.17,133
2034732,Теоретическая механика,108,5637,subject,"2,034,731",58,71017,13,Б1.О.17.01,39
2034733,Прикладная механика,252,5637,subject,"2,034,731",59,71017,18,Б1.О.17.02,94
2106299,Основы российской государственности,72,5637,module,,60,71017,,Б1.О.18,15
2106300,"Зачет с оценкой по дисциплине ""Основы российской государственности""",0,5637,control,"2,106,299",61,71017,40,Б1.О.18.01(К),0
2106301,Российская государственность: историко-правовые аспекты,18,5637,subject,"2,106,299",62,71017,40,Б1.О.18.02,5
2106302,Философские измерения цивилизованного развития России,27,5637,subject,"2,106,299",63,71017,43,Б1.О.18.03,4
2106303,Социально-политические детерминанты развития России,27,5637,subject,"2,106,299",64,71017,42,Б1.О.18.04,6
2034748,Дисциплины по выбору Б1.О.ДВ.1,288,5637,choice,,65,71017,,Б1.О.ДВ.01,148
2034749,Иностранный язык,288,5637,subject,"2,034,748",66,71017,9,Б1.О.ДВ.01.01,148
2034750,Русский язык как иностранный,288,5637,subject,"2,034,748",67,71017,41,Б1.О.ДВ.01.02,148
2034744,Производственная практика (преддипломная практика),432,5637,practice,,68,71021,31,Б2.В.01(Пд),430
