ID,FileName,Title,StudyYear,SpecialtyId,DepartmentId,StudyFormId,StudyLevelId,StudyPeriod
6274,01 03 02_23_308.plx,01.03.02 Прикладная математика и информатика,2023-2024,364,14,1,2,4
6689,01.03.02_20_338.plx,01.03.02 Прикладная математика и информатика,2023-2024,364,14,1,2,4
6690,01.03.02_21_338.plx,01.03.02 Прикладная математика и информатика,2023-2024,364,14,1,2,4
6792,01.03.02_22_338.plx,01.03.02 Прикладная математика и информатика,2023-2024,364,14,1,2,4
6779,01.03.02_23_305.plx,01.03.02 Прикладная математика и информатика,2023-2024,364,5,1,2,4
6780,01.03.02_23_308.plx,01.03.02 Прикладная математика и информатика,2023-2024,364,14,1,2,4
6781,01.03.02_23_338.plx,01.03.02 Прикладная математика и информатика,2023-2024,364,14,1,2,4
6801,01.04.02_22_565.plx,01.04.02 Прикладная математика и информатика,2023-2024,401,5,1,3,2
6802,01.04.02_22_567с.plx,01.04.02 Прикладная математика и информатика,2023-2024,401,6,1,3,2
6803,01.04.02_22_567с1.plx,01.04.02 Прикладная математика и информатика,2023-2024,401,6,1,3,2
6824,01.04.02_23_565.plx,01.04.02 Прикладная математика и информатика,2023-2024,401,5,1,3,2
6825,01.04.02_23_567с.plx,01.04.02 Прикладная математика и информатика,2023-2024,401,6,1,3,2
6826,01.04.02_23_567с1.plx,01.04.02 Прикладная математика и информатика,2023-2024,401,6,1,3,2
5637,04.03.02_22_350.plx,"04.03.02 Химия, физика и механика материалов",2023-2024,1804,31,1,2,4
5638,04.04.02_22_209.plx,"04.04.02 Химия, физика и механика материалов",2023-2024,1803,31,1,3,2
6709,09.03.01_19_930.plx,09.03.01 Информатика и вычислительная техника,2023-2024,1742,6,3,2,5
6710,09.03.01_19_984.plx,09.03.01 Информатика и вычислительная техника,2023-2024,1750,6,2,2,5
6691,09.03.01_20_331.plx,09.03.01 Информатика и вычислительная техника,2023-2024,352,24,1,2,4
6692,09.03.01_20_335.plx,09.03.01 Информатика и вычислительная техника,2023-2024,352,6,1,2,4
6711,09.03.01_20_930.plx,09.03.01 Информатика и вычислительная техника,2023-2024,1742,6,3,2,5
6712,09.03.01_20_984.plx,09.03.01 Информатика и вычислительная техника,2023-2024,1750,6,2,2,5
6693,09.03.01_21_330.plx,09.03.01 Информатика и вычислительная техника,2023-2024,352,24,1,2,4
6694,09.03.01_21_334.plx,09.03.01 Информатика и вычислительная техника,2023-2024,352,6,1,2,4
6713,09.03.01_21_930.plx,09.03.01 Информатика и вычислительная техника,2023-2024,1742,6,3,2,5
6714,09.03.01_21_984.plx,09.03.01 Информатика и вычислительная техника,2023-2024,1750,6,2,2,5
6793,09.03.01_22_330.plx,09.03.01 Информатика и вычислительная техника,2023-2024,352,24,1,2,4
6794,09.03.01_22_334.plx,09.03.01 Информатика и вычислительная техника,2023-2024,352,6,1,2,4
6847,09.03.01_22_930.plx,09.03.01 Информатика и вычислительная техника,2023-2024,1742,6,3,2,5
6854,09.03.01_22_984.plx,09.03.01 Информатика и вычислительная техника,2023-2024,1750,6,2,2,4
6782,09.03.01_23_330.plx,09.03.01 Информатика и вычислительная техника,2023-2024,352,24,1,2,4
6783,09.03.01_23_334.plx,09.03.01 Информатика и вычислительная техника,2023-2024,352,6,1,2,4
6852,09.03.01_23_984.plx,09.03.01 Информатика и вычислительная техника,2023-2024,1750,6,2,2,5
6715,09.03.02_19_939.plx,09.03.02 Информационные системы и технологии,2023-2024,1743,2,3,2,5
6695,09.03.02_20_333.plx,09.03.02 Информационные системы и технологии,2023-2024,359,2,1,2,4
6696,09.03.02_20_337.plx,09.03.02 Информационные системы и технологии,2023-2024,359,1,1,2,4
6716,09.03.02_20_939.plx,09.03.02 Информационные системы и технологии,2023-2024,1743,2,3,2,5
6697,09.03.02_21_333.plx,09.03.02 Информационные системы и технологии,2023-2024,359,2,1,2,4
6698,09.03.02_21_337.plx,09.03.02 Информационные системы и технологии,2023-2024,359,1,1,2,4
6717,09.03.02_21_939.plx,09.03.02 Информационные системы и технологии,2023-2024,1743,2,3,2,5
6795,09.03.02_22_333.plx,09.03.02 Информационные системы и технологии,2023-2024,359,2,1,2,4
6796,09.03.02_22_337.plx,09.03.02 Информационные системы и технологии,2023-2024,359,1,1,2,4
6848,09.03.02_22_939.plx,09.03.02 Информационные системы и технологии,2023-2024,1743,2,3,2,5
6784,09.03.02_23_333.plx,09.03.02 Информационные системы и технологии,2023-2024,359,2,1,2,4
6785,09.03.02_23_337.plx,09.03.02 Информационные системы и технологии,2023-2024,359,1,1,2,4
6699,09.03.04_20_332.plx,09.03.04 Программная инженерия,2023-2024,362,14,1,2,4
6700,09.03.04_21_332.plx,09.03.04 Программная инженерия,2023-2024,362,14,1,2,4
6797,09.03.04_22_332.plx,09.03.04 Программная инженерия,2023-2024,362,14,1,2,4
6786,09.03.04_23_332.plx,09.03.04 Программная инженерия,2023-2024,362,14,1,2,4
6804,09.04.01_22_500.plx,"09.04.01 Информатика и вычислительная техника
(Computer Systems Engineering and Informatics)",2023-2024,389,2,1,3,2
6805,09.04.01_22_571с.plx,09.04.01 Информатика и вычислительная техника,2023-2024,389,2,1,3,2
6806,09.04.01_22_571с1.plx,09.04.01 Информатика и вычислительная техника,2023-2024,389,2,1,3,2
6807,09.04.01_22_572.plx,09.04.01 Информатика и вычислительная техника,2023-2024,389,24,1,3,2
6808,09.04.01_22_574.plx,09.04.01 Информатика и вычислительная техника,2023-2024,389,24,1,3,2
6809,09.04.01_22_575с.plx,09.04.01 Информатика и вычислительная техника,2023-2024,389,6,1,3,2
6810,09.04.01_22_575с1.plx,09.04.01 Информатика и вычислительная техника,2023-2024,389,6,1,3,2
6811,09.04.01_22_577.plx,09.04.01 Информатика и вычислительная техника,2023-2024,389,6,1,3,2
